location,latitude,longitude,gvi_depan,gvi_kiri,gvi_kanan,gvi_average
titik001,,,0.1396955966,0.1254865179,0.25565737,0.1736131615
titik002,,,0.158798888,0.02887916837,0.06663482812,0.0847709615
titik003,,,0.1393955007,0.03864766393,0.4253955295,0.2011462314
titik004,,,0.3614504106,0.01667463861,0.4243818959,0.267502315
titik005,,,0.4693012284,0.2826300804,0.5658190166,0.4392501085
titik006,,,0.4504896673,0.5746737738,0.3431396382,0.4561010264
titik007,,,0.45037911,0.4286354009,0.5093018255,0.4627721121
titik008,,,0.3468656994,0.7508678915,0.4758196826,0.5245177578
titik009,,,0.3071962002,0.4428496466,0.04213423892,0.2640600286
titik010,,,0.4338348765,0.1135368933,0.1778405855,0.2417374518
titik011,,,0.3210088144,0.7772716581,0.2473914865,0.4485573197
titik012,,,0.3200472608,0.4840378329,0.2482784057,0.3507878331
titik013,,,0.272416977,0.4817868264,0.1569801869,0.3037279968
titik014,,,0.4252022182,0.1210233804,0.09775434093,0.2146599799
titik015,,,0.4267008115,0.3430426955,0.7315169123,0.5004201398
titik016,,,0.4109255585,0.3654257179,0.3382950451,0.3715487738
titik017,,,0.2711437633,0.7188700712,0.2110366571,0.4003501639
titik018,,,0.3464964641,0.09847083123,0.3230826667,0.256016654
titik019,,,0.2752626803,0.04453615455,0.3860330156,0.2352772835
titik020,,,0.1036732594,0.3857952517,0.09628838997,0.1952523004
titik021,,,0.5423405908,0.09882579575,0.4563206648,0.3658290171
titik022,,,0.4804361077,0.03134177571,0.4699508758,0.3272429197
titik023,,,0.4888432225,0.3195851016,0.5070475383,0.4384919541
titik024,,,0.345656376,0.04689320751,0.3390964217,0.2438820017
titik025,,,0.1425438424,0.05235529783,0.3408103886,0.1785698429
titik026,,,0.4473013839,0.2217201213,0.4509273038,0.3733162697
titik027,,,0.4748044907,0.3792959892,0.3564963263,0.4035322687
titik028,,,0.261604584,0,0.3891387911,0.2169144584
titik029,,,0.102997367,0,0.2108187411,0.1046053693
titik030,,,0.1515791164,0.01010951738,0.2298302568,0.1305062968
titik031,,,0.2028213774,0.1537433502,0.3942252489,0.2502633255
titik032,,,0.2118308164,0.1941432823,0.453710593,0.2865615639
titik033,,,0.1024833738,0.04210331895,0.4411569219,0.1952478715
titik034,,,0.2219592795,0.07348011543,0.2486040906,0.1813478285
titik035,,,0.1581079046,0.0005376137724,0.2720332249,0.1435595811
titik036,,,0.111441881,0.03729546892,0.06819969018,0.07231234669
titik037,,,0.1011648052,0.000001312253296,0.3311960008,0.1441207061
titik038,,,0.1606228381,0.0008207324211,0.4109103036,0.1907846247
titik039,,,0.2141720403,0.4115513393,0.4088772951,0.3448668916
titik040,,,0.1445804595,0.02733579446,0.4257931423,0.1992364654
titik041,,,0.1544153059,0.04540749074,0.340563685,0.1801288272
titik042,,,0.1883071998,0,0.3742704692,0.1875258897
titik043,,,0.2690332499,0.2537035069,0.470402865,0.3310465406
titik044,,,0.1026378916,0.004455099941,0.4639600294,0.190351007
titik045,,,0.3197780028,0.1825482122,0.3882326802,0.2968529651
titik046,,,0.1461295745,0.04367843299,0.5404010804,0.2434030293
titik047,,,0.2535548942,0.2084228126,0.4294147974,0.2971308347
titik048,,,0.3581014582,0.5386147756,0.4083020361,0.4350060899
